pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
7.3,20.7,84.8,0.305
7.2,20.7,80.5,0.265
7.1,20.7,83.6,0.217
7.1,20.5,85,0.221
7.1,23.8,88.9,0.314
7.1,24,100,0.248
7.1,25.5,112,0.216
7.3,21,118,0.195
7.1,21,127,0.265
7.3,22,139,0.265
7.2,22,168,0.219
7.1,22,171,0.345
7.2,23,164,0.347
7.2,23,157,0.509
7.3,24,153,0.185
7.2,24,181,0.539
7.2,24,187,0.352
7.3,22,166,0.572
7.3,22,173,0.814
7.9,20.9,53,0.247
7.7,20.1,54,0.256
7.5,20.4,53,0.177
7.6,20.6,53,0.168
7.6,20.2,52,0.225
7.6,21.2,61,0.271
7.6,21.3,63,0.21
7.6,21,82,0.216
7.4,21,71,0.344
7.5,21,76,0.235
7.4,21,91,0.253
7.3,21,92,0.366
9.7,21,354,0.334
6.8,24,99,0.341
7,23.3,106,0.293
7.1,23.6,122,0.315
7.2,23.2,126,0.37
7,22.4,136,0.378
7.3,22.1,123,0.523
7.5,19,67,0.34
7.3,20,62,0.33
7.3,20,58,0.3
7.2,20,58,0.33
7.2,21,61,0.39
6.4,21.2,48,0.3
6.3,21.2,50,0.29
6.8,21.2,53,0.26
7,21.3,55,0.31
7,21.3,62,0.25
6.9,21.4,71,0.27
7,21.4,74,0.34
7,21.6,80,0.392
6.8,21.6,79,0.37
7.63,22.7,112,0.53
7.7,22.6,126,0.48
7.7,22.9,122,0.43
7.6,22.8,127,0.43
7.5,22.8,159,0.67
7.5,20,86,1.09
6.2,20,70,0.299
7.5,20,77,0.309
7.1,21,66,0.261
7.1,21,71,0.326
7.5,23,80,0.244
7.4,22,85,0.206
7.8,23,109,0.223
7.2,22,95,0.243
7.3,23,107,0.367
7.3,22,113,0.298
7.2,22,120,0.301
7.4,22,124,0.301
7.3,21,126,0.396
7.7,22,146,0.419
7.7,22,162,0.312
7.8,22,154,0.538
7.6,22,151,0.52
7.3,22,153,0.795
6.5,20,86,0.32
6.6,20,83,0.315
6.7,20,77,0.344
7.1,21,74,0.29
7.1,22,79,0.364
7,18,94,0.424
7,18,86,0.309
6.8,19,87,0.351
6.9,19,85,0.399
6.9,20,101,0.332
6.8,18,124,0.35
6.8,20,126,0.39
6.8,20,131,0.311
6.8,20,136,0.429
7.7,24.1,164,0.32
7.6,23.6,152,0.472
7.6,23.6,140,0.518
7.5,23.4,147,0.518
7.2,23,152,0.516
6.9,19,97.9,0.204
7.4,20,80.3,0.249
7.5,20,66.1,0.18
7.4,20,76.2,0.225
7.3,20,80,0.293
7.3,21,78.6,0.216
7.3,22,85.8,0.208
8.1,22.8,93,0.211
7.7,23,96,0.211
7.7,23,104,0.147
7.4,23.2,125,0.163
7.4,23.2,125,0.163
7.4,23.6,141,0.164
7.4,24.4,141,0.172
7.2,24,166,0.206
7.2,23.5,154,0.407
7.2,24.4,153,0.814
7.3,24,154,0.863
7.3,23.5,153,1.56
5.7,22.9,190,0.283
7.5,22.8,149,0.428
7.5,22.9,99,0.465
7.3,23.6,111,0.47
7.3,24,116,0.245
7.4,23.4,131,0.476
7.4,23.2,127,0.386
6.8,20.2,86,"<0,09"
6.6,20.3,85,0.261
7.1,21.3,84,0.116
7.5,22.1,87,"<0,09"
7.1,22.9,86,0.212
7.7,22.6,90,0.234
7.6,23.4,98,0.196
7.7,23.6,113,0.308
7.06,24.1,120,0.401
7.4,24.5,131,0.203
7.2,24.9,162,0.257
7.2,24.5,171,"<0,09"
7.2,24.5,167,0.132
7.5,24.5,159,0.144
7.43,22,146,0.484
7.4,23,176,"<0,09"
7.4,24,182,0.43
7.4,24,177,0.361
7.5,24,176,0.747
6.8,20,88.2,0.25
6.9,20,88.9,0.207
7.5,20,68.3,0.111
7.3,22,77.5,0.207
7.5,22,81.8,0.221
7.5,24,89,0.252
7.6,24.1,88,0.161
7.5,24.6,96,0.192
7.48,25.1,120,0.291
7.18,25.9,115,0.146
7.1,25.3,126,<0.09
7.1,25.4,135,"<0,09"
6.9,25.5,145,<0.09
7.1,26,146,<0.09
7.9,26.8,157,"<0,09"
7.8,26.6,165,0.211
8,26.7,158,0.717
7.8,26.7,186,0.377
8.2,25.2,164,0.364
6.9,17,97.4,2.02
6.7,18,89,0.245
7,19,85.4,0.157
7.1,20,87.5,0.167
7.1,19,101,0.148
7.3,20,108,0.26
7.2,20,119,0.258
7.2,21,119,0.332
6.94,21,154,0.235
6.9,21,138,0.205
6.87,21,164,0.104
6.9,22,166,"<0,09"
7,23,167,<0.09
7.3,23,101,0.099
7.3,24.2,177,"<0,09"
7.4,24.7,175,0.233
7.3,25.8,169,0.45
7.3,26.4,165,0.854
7.4,25.8,173,0.722
6.2,20.4,68,0.223
6.2,20.3,67,0.273
7,21.4,56,0.429
7.1,21.9,59,0.315
6.3,20,62,0.468
7.2,20,66,0.412
7.2,20,77,0.4
7.3,21,72,0.457
7.1,21,84,0.428
7.1,21,89,0.448
7.1,20,100,0.484
7,23,107,0.773
7,21,107,0.845
7,22,127,0.747
6.7,21.9,107,0.763
7.1,22.2,117,0.866
7,22.3,114,0.81
7,22.2,109,0.975
7.1,22.6,115,0.958
,6.72,80,0.253
,6.63,75,0.317
,6.7,71,0.191
,6.98,71,0.212
,7.53,72,0.248
,7.22,105,0.289
,7.01,107,0.222
,7.18,119,0.234
,7.01,144,0.184
,6.85,159,0.189
,6.58,181,0.056
,6.62,198,0.101
,6.8,207,0.094
,6.81,197,0.036
,6.92,165,0.125
,6.9,115,0.308
,6.95,116,0.263
,6.87,143,0.585
,7.04,160,0.776
7.15,21,65.9,0.331
6.7,20.8,65.3,0.302
7.16,21.2,59,0.245
7.36,21.6,73.8,0.577
7.14,23.5,79.8,0.593
7.22,24,61,0.373
7.25,25,64,0.302
7.27,25,66,0.256
7.04,25,74,0.385
6.75,26,76,0.254
7.08,26,90,0.22
7.01,26,97,0.233
7.09,27,98,0.212
7.12,27,93,0.286
7.32,26.2,140,0.516
7.2,24.2,143,0.686
7.3,24,138,0.122
7.48,24.6,147,0.427
7.2,22.8,164,0.622
6.68,15,30,0.241
6.6,15,49,0.133
7.02,15,47,0.177
7.2,16,46,0.19
7.03,17,49,0.169
6.19,23.1,115,0.283
7.1,23.2,121,0.174
7.05,24,122,0.172
6.79,24.2,144,0.172
6.86,24.4,149,0.221
6.97,24.7,157,0.325
6.81,25,171,0.108
6.75,25.2,175,0.064
6.68,25.4,173,0.072
6.79,25.6,151,0.21
6.89,24.9,147,0.517
6.77,25.3,153,0.385
6.76,25.4,147,0.608
6.22,25.3,283,0.357
6.37,20,106,0.318
5.76,19.8,103,0.11
7.08,21,100,0.218
6.54,21.4,98,0.106
7.98,22.2,97,0.323
7.26,20,140,1.05
7.24,20,146,1.53
7.15,20,145,0.348
7.08,22,164,0.348
7.01,22,169,0.41
7.1,22,190,0.273
7.1,23,197,0.246
7.05,23,183,0.281
7.2,23,178,0.153
6.95,24.5,162,0.389
6.86,25.1,171,0.702
6.5,25.3,180,0.407
6.76,25.8,171,0.471
6.38,25.2,191,0.074
6.87,22.1,102,0.096
6.78,21.7,105,0.168
7.1,22.1,92,0.064
7.12,22.4,92,0.079
7.28,23.4,95,0.168
7.25,20,126.3,0.22
7.1,20,132.2,0.219
7,,127.9,0.139
6.8,21,138.6,0.139
6.8,,148.6,0.215
6.82,23,168.1,0.205
6.8,23,183.3,0.109
6.8,24,166.7,0.84
6.88,24,160.5,0.165
6.96,26,143,0.397
7,24.6,145,0.499
6.97,25,144,0.461
6.94,25.1,134,1.324
6.94,26,164,0.307
6.82,29.3,79,0.349
6.8,20.8,80,0.504
7.02,21.5,72,0.353
7.12,21.4,74,0.336
7.24,23.2,80,0.452
6.96,19,103.9,0.405
7,19,108.3,0.486
6.95,20,113.2,0.376
7.08,20,114,0.4
6.92,20,130.2,0.367
6.95,20,150.3,0.333
6.97,20,157.2,0.472
7,20,156.9,0.448
7.1,21,158.1,0.465
7.28,24,153,0.562
7.15,23.5,154,0.737
7.18,23.9,159,0.866
7.22,23.8,153,0.836
7.18,23.2,140,0.819
6.52,19,84.7,"<0,4"
6.51,19,82.7,"<0,4"
6.99,20,68.5,"<0,4"
6.85,22,77.2,"<0,4"
7.12,22,77.7,"<0,4"
6.73,21,86.1,"<0,4"
6.72,21,95,"<0,4"
6.8,22,95.8,"<0,4"
6.69,6.7,105.2,"<0,4"
6.9,23,121.2,"<0,4"
6.5,23,120.5,"<0,4"
6.7,23,115,"<0,4"
6.7,23,131.2,"<0,4"
6.69,23,179.2,"<0,4"
7.11,24.5,156,"<0,4"
6.9,24.2,159,"<0,4"
7.01,24.1,151,"<0,4"
7.04,23.6,158,"<0,4"
7.25,23.9,152,"<0,4"
6.38,20.4,113.3,"<0,4"
6.43,20.5,99,"<0,4"
6.89,21.4,80.2,"<0,4"
6.94,21.4,85.3,"<0,4"
7.3,23.5,99.2,0.464
7.17,16,82.9,"<0,4"
7.03,17,91.6,"<0,4"
6.92,17,99.5,0.449
6.75,18,105.2,"<0,4"
6.78,18,107,0.474
6.85,18,114.5,0.577
6.91,18,149.5,"<0,4"
7.01,19,137.5,0.802
