Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
23,135,7.1,0.568
21.7,190,7.2,0.329
20.7,84.8,7.3,0.305
20.7,80.5,7.2,0.265
20.7,83.6,7.1,0.217
20.5,85,7.1,0.221
23.8,88.9,7.1,0.314
24,100,7.1,0.248
25.5,112,7.1,0.216
21,118,7.3,0.195
21,127,7.1,0.265
22,139,7.3,0.265
22,168,7.2,0.219
22,171,7.1,0.345
23,164,7.2,0.347
23,157,7.2,0.509
24,153,7.3,0.185
24,181,7.2,0.539
24,187,7.2,0.352
22,166,7.3,0.572
22,173,7.3,0.814
20.9,53,7.9,0.247
20.1,54,7.7,0.256
20.4,53,7.5,0.177
20.6,53,7.6,0.168
20.2,52,7.6,0.225
21.2,61,7.6,0.271
21.3,63,7.6,0.21
21,82,7.6,0.216
21,71,7.4,0.344
21,76,7.5,0.235
21,91,7.4,0.253
21,92,7.3,0.366
21,354,9.7,0.334
24,99,6.8,0.341
23.3,106,7,0.293
23.6,122,7.1,0.315
23.2,126,7.2,0.37
22.4,136,7,0.378
22.1,123,7.3,0.523
19,67,7.5,0.34
20,62,7.3,0.33
20,58,7.3,0.3
20,58,7.2,0.33
21,61,7.2,0.39
21.2,48,6.4,0.3
21.2,50,6.3,0.29
21.2,53,6.8,0.26
21.3,55,7,0.31
21.3,62,7,0.25
21.4,71,6.9,0.27
21.4,74,7,0.34
21.6,80,7,0.392
21.6,79,6.8,0.37
22.7,112,7.63,0.53
22.6,126,7.7,0.48
22.9,122,7.7,0.43
22.8,127,7.6,0.43
22.8,159,7.5,0.67
20,86,7.5,1.09
20,70,6.2,0.299
20,77,7.5,0.309
21,66,7.1,0.261
21,71,7.1,0.326
23,80,7.5,0.244
22,85,7.4,0.206
23,109,7.8,0.223
22,95,7.2,0.243
23,107,7.3,0.367
22,113,7.3,0.298
22,120,7.2,0.301
22,124,7.4,0.301
21,126,7.3,0.396
22,146,7.7,0.419
22,162,7.7,0.312
22,154,7.8,0.538
22,151,7.6,0.52
22,153,7.3,0.795
20,86,6.5,0.32
20,83,6.6,0.315
20,77,6.7,0.344
21,74,7.1,0.29
22,79,7.1,0.364
18,94,7,0.424
18,86,7,0.309
19,87,6.8,0.351
19,85,6.9,0.399
20,101,6.9,0.332
18,124,6.8,0.35
20,126,6.8,0.39
20,131,6.8,0.311
20,136,6.8,0.429
24.1,164,7.7,0.32
23.6,152,7.6,0.472
23.6,140,7.6,0.518
23.4,147,7.5,0.518
23,152,7.2,0.516
19,97.9,6.9,0.204
20,80.3,7.4,0.249
20,66.1,7.5,0.18
20,76.2,7.4,0.225
20,80,7.3,0.293
21,78.6,7.3,0.216
22,85.8,7.3,0.208
22.8,93,8.1,0.211
23,96,7.7,0.211
23,104,7.7,0.147
23.2,125,7.4,0.163
23.2,125,7.4,0.163
23.6,141,7.4,0.164
24.4,141,7.4,0.172
24,166,7.2,0.206
23.5,154,7.2,0.407
24.4,153,7.2,0.814
24,154,7.3,0.863
23.5,153,7.3,1.56
22.9,190,5.7,0.283
22.8,149,7.5,0.428
22.9,99,7.5,0.465
23.6,111,7.3,0.47
24,116,7.3,0.245
23.4,131,7.4,0.476
23.2,127,7.4,0.386
20.3,85,6.6,0.261
21.3,84,7.1,0.116
22.9,86,7.1,0.212
22.6,90,7.7,0.234
23.4,98,7.6,0.196
23.6,113,7.7,0.308
24.1,120,7.06,0.401
24.5,131,7.4,0.203
24.9,162,7.2,0.257
24.5,167,7.2,0.132
24.5,159,7.5,0.144
22,146,7.43,0.484
